资源编号,分类,路径,类型,现有索引,当前用途说明,建议动作,确认结果,备注
ART-0307,界面,Assets/Resources/Sprite/UI/PauseMenuForm/PauseMenuForm_button_base_idle.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0308,界面,Assets/Resources/Sprite/UI/RunResultForm/RunResultForm.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0309,界面,Assets/Resources/Sprite/UI/RunResultForm/RunResultForm_bg.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0310,界面,Assets/Resources/Sprite/UI/RunResultForm/RunResultForm_icon_death.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0311,界面,Assets/Resources/Sprite/UI/RunResultForm/RunResultForm_icon_depth.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0312,界面,Assets/Resources/Sprite/UI/RunResultForm/RunResultForm_icon_gold.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0313,界面,Assets/Resources/Sprite/UI/RunResultForm/RunResultForm_icon_kills.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0314,界面,Assets/Resources/Sprite/UI/RunResultForm/RunResultForm_icon_tattoo_curse.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0315,界面,Assets/Resources/Sprite/UI/RunResultForm/RunResultForm_icon_tattoo_fire.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0316,界面,Assets/Resources/Sprite/UI/RunResultForm/RunResultForm_icon_tattoo_frost.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0317,界面,Assets/Resources/Sprite/UI/RunResultForm/RunResultForm_icon_tattoo_holy.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0318,界面,Assets/Resources/Sprite/UI/RunResultForm/RunResultForm_icon_tattoo_lightning.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0319,界面,Assets/Resources/Sprite/UI/RunResultForm/RunResultForm_icon_tattoo_nature.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0320,界面,Assets/Resources/Sprite/UI/RunResultForm/RunResultForm_panel_build_bg.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0321,界面,Assets/Resources/Sprite/UI/RunResultForm/RunResultForm_panel_stats_bg.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0322,界面,Assets/Resources/Sprite/UI/SelfTattooForm/SelfTattooForm.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0323,界面,Assets/Resources/Sprite/UI/SelfTattooForm/SelfTattooForm_bg.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0324,界面,Assets/Resources/Sprite/UI/SelfTattooForm/SelfTattooForm_body_idle.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0325,界面,Assets/Resources/Sprite/UI/SelfTattooForm/SelfTattooForm_body_part_selected.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0326,界面,Assets/Resources/Sprite/UI/SelfTattooForm/SelfTattooForm_color_locked_gray.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0327,界面,Assets/Resources/Sprite/UI/SelfTattooForm/SelfTattooForm_color_selected_glow.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0328,界面,Assets/Resources/Sprite/UI/SelfTattooForm/SelfTattooForm_divider_icon.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0329,界面,Assets/Resources/Sprite/UI/SelfTattooForm/SelfTattooForm_hourglass_icon.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0330,界面,Assets/Resources/Sprite/UI/SettingsForm/CancelButton.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0331,界面,Assets/Resources/Sprite/UI/SettingsForm/CloseIcon_X.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0332,界面,Assets/Resources/Sprite/UI/SettingsForm/KeyBindButton_Disabled.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0333,界面,Assets/Resources/Sprite/UI/SettingsForm/PanelBg.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0334,界面,Assets/Resources/Sprite/UI/SettingsForm/RadioCircle_Normal.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0335,界面,Assets/Resources/Sprite/UI/SettingsForm/RadioCircle_Selected.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0336,界面,Assets/Resources/Sprite/UI/SettingsForm/SaveButton.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0337,界面,Assets/Resources/Sprite/UI/SettingsForm/SliderFill.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0338,界面,Assets/Resources/Sprite/UI/SettingsForm/SliderHandle.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0339,界面,Assets/Resources/Sprite/UI/SettingsForm/SliderTrack.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0340,界面,Assets/Resources/Sprite/UI/ShopForm/ShopForm.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0341,界面,Assets/Resources/Sprite/UI/ShopForm/ShopForm_bg.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0342,界面,Assets/Resources/Sprite/UI/ShopForm/ShopForm_btn_close.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0343,界面,Assets/Resources/Sprite/UI/ShopForm/ShopForm_btn_refresh_bg.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0344,界面,Assets/Resources/Sprite/UI/ShopForm/ShopForm_icon_dagger.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0345,界面,Assets/Resources/Sprite/UI/ShopForm/ShopForm_icon_gold.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0346,界面,Assets/Resources/Sprite/UI/ShopForm/ShopForm_icon_potion.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0347,界面,Assets/Resources/Sprite/UI/ShopForm/ShopForm_icon_ring.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0348,界面,Assets/Resources/Sprite/UI/ShopForm/ShopForm_icon_scroll.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0349,界面,Assets/Resources/Sprite/UI/ShopForm/ShopForm_icon_shield.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0350,界面,Assets/Resources/Sprite/UI/ShopForm/ShopForm_icon_tattoo_ink.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0351,界面,Assets/Resources/Sprite/UI/ShopForm/ShopForm_slot_bg.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0352,界面,Assets/Resources/Sprite/UI/StatusIcon/burn.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0353,界面,Assets/Resources/Sprite/UI/StatusIcon/poison.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0354,界面,Assets/Resources/Sprite/UI/StatusIcon/stun.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0355,界面,Assets/Resources/Sprite/UI/TattooEnchantForm/TattooEnchantForm.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0356,界面,Assets/Resources/Sprite/UI/TattooEnchantForm/TattooEnchantForm_bg.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0357,界面,Assets/Resources/Sprite/UI/TattooEnchantForm/TattooEnchantForm_card_panel_disabled.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0358,界面,Assets/Resources/Sprite/UI/TattooEnchantForm/TattooEnchantForm_icon_rune_curse.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0359,界面,Assets/Resources/Sprite/UI/TattooEnchantForm/TattooEnchantForm_icon_rune_frost.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0360,界面,Assets/Resources/Sprite/UI/TattooEnchantForm/TattooEnchantForm_icon_rune_sun.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0361,界面,Assets/Resources/Sprite/UI/TattooEnchantForm/TattooEnchantForm_progress_bar_fill.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0362,界面,Assets/Resources/Sprite/UI/TattooEnchantForm/TattooEnchantForm_progress_bar_track.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0363,界面,Assets/Resources/Sprite/UI/TattooStudioForm/TattooStudioForm.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0364,界面,Assets/Resources/Sprite/UI/TattooStudioForm/TattooStudioForm_bg.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0365,界面,Assets/Resources/Sprite/UI/TattooStudioForm/TattooStudioForm_button_close.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0366,界面,Assets/Resources/Sprite/UI/TattooStudioForm/TattooStudioForm_humanoid_silhouette.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0367,界面,Assets/Resources/Sprite/UI/TattooStudioForm/TattooStudioForm_icon_death_chest_marker.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0368,界面,Assets/Resources/Sprite/UI/TattooStudioForm/TattooStudioForm_icon_enchant_fire.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0369,界面,Assets/Resources/Sprite/UI/TattooStudioForm/TattooStudioForm_icon_enchant_frost.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0370,界面,Assets/Resources/Sprite/UI/TattooStudioForm/TattooStudioForm_icon_enchant_nature.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0371,界面,Assets/Resources/Sprite/UI/TattooStudioForm/TattooStudioForm_progressbar_fill.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0372,界面,Assets/Resources/Sprite/UI/TattooStudioForm/TattooStudioForm_progressbar_track.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0373,界面,Assets/Resources/Sprite/UI/TattooStudioForm/TattooStudioForm_slot_marker_fire.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0374,界面,Assets/Resources/Sprite/UI/TattooStudioForm/TattooStudioForm_slot_marker_frost.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0375,界面,Assets/Resources/Sprite/UI/ThreeChoiceForm/cardpanel_hover.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0376,界面,Assets/Resources/Sprite/UI/ThreeChoiceForm/cardpanel_idle.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0377,界面,Assets/Resources/Sprite/UI/ThreeChoiceForm/cardpanel_locked.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0378,界面,Assets/Resources/Sprite/UI/ThreeChoiceForm/icon_tattoo_crit.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0379,界面,Assets/Resources/Sprite/UI/ThreeChoiceForm/icon_tattoo_fire.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0380,界面,Assets/Resources/Sprite/UI/ThreeChoiceForm/icon_tattoo_ice.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0381,界面,Assets/Resources/Sprite/UI/ThreeChoiceForm/ThreeChoiceForm.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0382,界面,Assets/Resources/Sprite/UI/ThreeChoiceForm/ThreeChoiceForm_bg.png,图片（PNG）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0383,武器,Assets/Resources/Sprite/Weapons/weapon_bow.png,图片（PNG）,运行时索引：effect.projectile.arrow_bow,运行时通过资源键 effect.projectile.arrow_bow 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0384,武器,Assets/Resources/Sprite/Weapons/weapon_energy_fist.png,图片（PNG）,运行时索引：weapon.energy_fist,运行时通过资源键 weapon.energy_fist 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0385,武器,Assets/Resources/Sprite/Weapons/weapon_heavy_hammer.png,图片（PNG）,运行时索引：weapon.hammer_heavy,运行时通过资源键 weapon.hammer_heavy 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0386,武器,Assets/Resources/Sprite/Weapons/weapon_pistol.png,图片（PNG）,运行时索引：effect.projectile.bullet_pistol,运行时通过资源键 effect.projectile.bullet_pistol 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0387,武器,Assets/Resources/Sprite/Weapons/weapon_short_blade.png,图片（PNG）,运行时索引：effect.attack.hit,运行时通过资源键 effect.attack.hit 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
PCG-TILE-01,PCG 地形切片集,Assets/Resources/Sprite/PCG/Terrain/Sliced/ShallowRiverTotemWetland/corruption_grass_mud_sample_01/,PCG 地形切片（PNG × 256）,PCG 索引 (TerrainTileSetCatalog),由 PCG 目录配置按资源路径加载,确认保留；是否纳入统一资产索引待确认,待确认,
PCG-TILE-02,PCG 地形切片集,Assets/Resources/Sprite/PCG/Terrain/Sliced/ShallowRiverTotemWetland/grass_forest_sample_01/,PCG 地形切片（PNG × 256）,PCG 索引 (TerrainTileSetCatalog),由 PCG 目录配置按资源路径加载,确认保留；是否纳入统一资产索引待确认,待确认,
PCG-TILE-03,PCG 地形切片集,Assets/Resources/Sprite/PCG/Terrain/Sliced/ShallowRiverTotemWetland/grass_mud_water_sample_01/,PCG 地形切片（PNG × 256）,PCG 索引 (TerrainTileSetCatalog),由 PCG 目录配置按资源路径加载,确认保留；是否纳入统一资产索引待确认,待确认,
PCG-TILE-04,PCG 地形切片集,Assets/Resources/Sprite/PCG/Terrain/Sliced/ShallowRiverTotemWetland/grass_road_ruin_sample_01/,PCG 地形切片（PNG × 256）,PCG 索引 (TerrainTileSetCatalog),由 PCG 目录配置按资源路径加载,确认保留；是否纳入统一资产索引待确认,待确认,
PCG-TILE-05,PCG 地形切片集,Assets/Resources/Sprite/PCG/Terrain/Sliced/ShallowRiverTotemWetland/grass_water_sample_01/,PCG 地形切片（PNG × 256）,PCG 索引 (TerrainTileSetCatalog),由 PCG 目录配置按资源路径加载,确认保留；是否纳入统一资产索引待确认,待确认,
